ID 0: desc:'Google Play logo' @ [262, 348]
ID 1: 'Search' @ [739, 348]
ID 2: 'Help Center' @ [865, 348]
ID 3: 'Open account menu' @ [991, 348]
ID 4: desc:'Games' @ [108, 485]
ID 5: 'Games' @ [108, 484]
ID 6: desc:'Apps' @ [324, 485]
ID 7: 'Apps' @ [324, 484]
ID 8: desc:'Movies & TV' @ [540, 485]
ID 9: 'Movies & TV' @ [540, 484]
ID 10: desc:'Books' @ [757, 485]
ID 11: 'Books' @ [756, 484]
ID 12: desc:'Kids' @ [971, 485]
ID 13: 'Kids' @ [973, 484]
ID 14: 'Play trailer' @ [540, 851]
ID 15: 'YouTube' @ [441, 1092]
ID 16: desc:'Google LLC' @ [431, 1171]
ID 17: 'Google LLC' @ [431, 1171]
ID 18: 'Contains ads · In-app purchases' @ [552, 1223]
ID 19: 'Rated 3.9 stars out of five stars' @ [168, 1364]
ID 20: '170M reviews' @ [168, 1420]
ID 21: 'Content rating' @ [441, 1362]
ID 22: 'Teen' @ [419, 1420]
ID 23: 'More info about this content rating' @ [481, 1420]
ID 24: '10B+Downloads' @ [712, 1389]
ID 25: 'Install' @ [542, 1595]
ID 26: desc:'See in Play Store app' @ [540, 1719]
ID 27: 'Share' @ [339, 1851]
ID 28: 'Add to wishlist' @ [663, 1851]
ID 29: 'Screenshot image' @ [198, 2223]
ID 30: 'Screenshot image' @ [494, 2223]
ID 31: 'Screenshot image' @ [794, 2223]
ID 32: 'Screenshot image' @ [1019, 2223]
ID 33: 'Scroll Next' @ [1012, 2322]
ID 34: desc:'Home' id:home_button @ [63, 201]
ID 35: id:location_bar_status @ [179, 201]
ID 36: desc:'Connection is secure' id:location_bar_status_icon @ [178, 201]
ID 37: id:url_bar (EditText) @ [446, 201]
ID 38: id:toolbar_buttons @ [886, 201]
ID 39: desc:'New tab' id:optional_toolbar_button @ [760, 201]
ID 40: desc:'Switch or close tabs' id:tab_switcher_button @ [891, 201]
ID 41: desc:'Update available. More options' id:menu_button @ [1017, 201]
