ID 0: LinearLayout @ [87, 180]
ID 1: '关注' id:title @ [87, 181]
ID 2: LinearLayout @ [219, 180]
ID 3: '推荐' id:title @ [219, 181]
ID 4: LinearLayout @ [351, 180]
ID 5: '热榜' id:title @ [351, 181]
ID 6: LinearLayout @ [483, 180]
ID 7: '故事' id:title @ [483, 181]
ID 8: LinearLayout @ [615, 180]
ID 9: '知识' id:title @ [615, 181]
ID 10: LinearLayout @ [747, 180]
ID 11: '圈子' id:title @ [747, 181]
ID 12: LinearLayout @ [879, 180]
ID 13: '专栏' id:title @ [879, 181]
ID 14: id:right_container @ [970, 180]
ID 15: desc:'搜索' @ [1006, 180]
ID 16: desc:'听' @ [917, 180]
ID 17: desc:'赞同1791' @ [108, 430]
ID 18: '1791' id:statusTv @ [134, 430]
ID 19: desc:'收藏299' @ [294, 430]
ID 20: '299' id:statusTv @ [321, 430]
ID 21: FrameLayout @ [472, 430]
ID 22: desc:'评论372' @ [472, 430]
ID 23: '372' id:statusTv @ [499, 430]
ID 24: ImageView @ [1006, 430]
ID 25: '有必要做产检吗?' @ [206, 557]
ID 26: '惜字人' @ [164, 634]
ID 27: TextView @ [540, 738]
ID 28: desc:'赞同1142' @ [108, 1351]
ID 29: '1142' id:statusTv @ [134, 1351]
ID 30: desc:'收藏240' @ [294, 1351]
ID 31: '240' id:statusTv @ [321, 1351]
ID 32: FrameLayout @ [472, 1351]
ID 33: desc:'评论403' @ [472, 1351]
ID 34: '403' id:statusTv @ [499, 1351]
ID 35: ImageView @ [1006, 1351]
ID 36: '为什么有钱人家的孩子都有气质？' @ [372, 1478]
ID 37: '不爱虚名爱恶名' @ [236, 1555]
ID 38: TextView @ [540, 1659]
ID 39: RecyclerView @ [540, 1916]
ID 40: desc:'赞同2126' @ [108, 2150]
ID 41: '2126' id:statusTv @ [134, 2150]
ID 42: desc:'收藏1281' @ [303, 2150]
ID 43: '1281' id:statusTv @ [329, 2150]
ID 44: FrameLayout @ [489, 2150]
ID 45: desc:'评论433' @ [489, 2150]
ID 46: '433' id:statusTv @ [516, 2150]
ID 47: ImageView @ [1006, 2150]
ID 48: '快速登录，解锁更多优质回答' id:guide_text @ [411, 2116]
ID 49: '一键登录' id:guide_login_btn @ [934, 2116]
ID 50: id:guide_close @ [1045, 2082]
ID 51: LinearLayout @ [108, 2259]
ID 52: '首页' id:tab_title @ [108, 2295]
ID 53: LinearLayout @ [324, 2259]
ID 54: '直答' id:tab_title @ [324, 2295]
ID 55: LinearLayout @ [540, 2259]
ID 56: LinearLayout @ [756, 2259]
ID 57: '消息' id:tab_title @ [756, 2295]
ID 58: LinearLayout @ [972, 2259]
ID 59: '未登录' id:tab_title @ [972, 2296]
