ID 0: LinearLayout @ [87, 180]
ID 1: '关注' id:title @ [87, 181]
ID 2: LinearLayout @ [219, 180]
ID 3: '推荐' id:title @ [219, 181]
ID 4: LinearLayout @ [351, 180]
ID 5: '热榜' id:title @ [351, 181]
ID 6: LinearLayout @ [483, 180]
ID 7: '故事' id:title @ [483, 181]
ID 8: LinearLayout @ [615, 180]
ID 9: '知识' id:title @ [615, 181]
ID 10: LinearLayout @ [747, 180]
ID 11: '圈子' id:title @ [747, 181]
ID 12: LinearLayout @ [879, 180]
ID 13: '专栏' id:title @ [879, 181]
ID 14: id:right_container @ [970, 180]
ID 15: desc:'搜索' @ [1006, 180]
ID 16: desc:'听' @ [917, 180]
ID 17: '浏览不健康的网站真的会有记录吗？' @ [394, 253]
ID 18: '迷人小狗' @ [182, 317]
ID 19: TextView @ [540, 421]
ID 20: desc:'赞同906' @ [99, 533]
ID 21: '906' id:statusTv @ [126, 533]
ID 22: desc:'收藏604' @ [277, 533]
ID 23: '604' id:statusTv @ [304, 533]
ID 24: FrameLayout @ [455, 533]
ID 25: desc:'评论219' @ [455, 533]
ID 26: '219' id:statusTv @ [482, 533]
ID 27: ImageView @ [1006, 533]
ID 28: '人类真的想象不出从来没见过的东西吗？' @ [438, 660]
ID 29: '婉桐' @ [146, 737]
ID 30: TextView @ [540, 841]
ID 31: desc:'赞同6563' @ [108, 1332]
ID 32: '6563' id:statusTv @ [134, 1332]
ID 33: desc:'收藏510' @ [294, 1332]
ID 34: '510' id:statusTv @ [321, 1332]
ID 35: FrameLayout @ [472, 1332]
ID 36: desc:'评论823' @ [472, 1332]
ID 37: '823' id:statusTv @ [499, 1332]
ID 38: ImageView @ [1006, 1332]
ID 39: '可乐喝多了有什么坏处？' @ [284, 1459]
ID 40: '太二真人' @ [182, 1536]
ID 41: TextView @ [540, 1640]
ID 42: '快速登录，解锁更多优质回答' id:guide_text @ [411, 2116]
ID 43: '一键登录' id:guide_login_btn @ [934, 2116]
ID 44: id:guide_close @ [1045, 2082]
ID 45: LinearLayout @ [108, 2259]
ID 46: '首页' id:tab_title @ [108, 2295]
ID 47: LinearLayout @ [324, 2259]
ID 48: '直答' id:tab_title @ [324, 2295]
ID 49: LinearLayout @ [540, 2259]
ID 50: LinearLayout @ [756, 2259]
ID 51: '消息' id:tab_title @ [756, 2295]
ID 52: LinearLayout @ [972, 2259]
ID 53: '未登录' id:tab_title @ [972, 2296]
